vendor,brand,sku,name,price,currency,stock_status,inventory,product_url,image_url,ingredients,description,scraped_at
Emerson,,,,,USD,instock,1,https://emersonecologics.com/products/detail/XYMOGEN/histdao-60c/U3ByZWU6OlByb2R1Y3QtNzk0MDU=/XYM0117,https://assets.fullscript.io/Product/XM0065/400_front.png,,"Serving Size : 1 Tablet Amount Per Serving Pig Kidney Extract … 4.2mg (providing 20,000 HDU diamine oxidase (DAO)) Other Ingredients: Microcrystalline cellulose, hydroxypropyl cellulose, coating (ethylcellulose, sodium alginate, hydroxypropyl methylcellulose, medium-chain triglycerides, stearic acid, oleic acid, and microcrystalline cellulose), sodium starch glycolate, and magnesium stearate. Formulated to Exclude: Wheat, gluten, corn, yeast, soy, dairy products, fish, shellfish, peanuts, tree nuts, egg, sesame, ingredients derived from genetically modified organisms (GMOs), artificial colors, and artificial sweeteners. Trademarks:DAO Enzyme manufactured by DR HEALTHCARE, S.L.U., for XYMOGEN under Patents",2025-09-09 09:35:47
Emerson,,,,,USD,instock,1,https://emersonecologics.com/products/detail/Thorne/phosphatidyl-choline-60-gels/U3ByZWU6OlByb2R1Y3QtNzY2NzQ=/T05010,https://assets.fullscript.io/Product/TH0163/400_front.png,,"*These statements have not been evaluated by the Food and Drug Administration. These products are not intended to diagnose, treat, cure, or prevent any disease.",2025-09-09 09:35:48
Emerson,,,,,USD,instock,1,https://emersonecologics.com/products/detail/Metagenics/ultraflora-womenss-30-caps/U3ByZWU6OlByb2R1Y3QtNzY0Mjg=/M37476,https://assets.fullscript.io/Product/MI0272/400_front.png,,"*These statements have not been evaluated by the Food and Drug Administration. These products are not intended to diagnose, treat, cure, or prevent any disease.",2025-09-09 09:35:50
Emerson,,,,,USD,instock,1,https://emersonecologics.com/products/detail/Thorne/dim-advantage/U3ByZWU6OlByb2R1Y3QtOTUwMzM=/T90069,https://assets.fullscript.io/Product/TH0429/400_front.png,,"*These statements have not been evaluated by the Food and Drug Administration. These products are not intended to diagnose, treat, cure, or prevent any disease.",2025-09-09 09:35:51
Emerson,,,,,USD,instock,1,https://emersonecologics.com/products/detail/BodyHealth/perfectamino-tablets/U3ByZWU6OlByb2R1Y3QtOTMwODc=/DY0007,https://assets.fullscript.io/Product/DY0001/400_front.png,,"Suggested Use: Take 5 tablets, 1-3 times daily or as needed. Serving Size: 5 Tablets Amount Per Serving PERFECT AMINO™ EAA & NA Proprietary Blend … 5g L-Leucine, L-Valine, L-Isoleucine, L-Lysine HCL, L- Phenylalanine, L-Threonine, L-Methionine, L-Tryptophan, L-Histidine, Uridine, Adenosine Triphosphate, Thymidine, Adenine, 2'-Deoxyadenosine, 2'-Deoxyguanosine, 2'-Deoxycytidine Other Ingredients : None.",2025-09-09 09:35:53
Emerson,,,,,USD,instock,1,https://emersonecologics.com/products/detail/Metagenics/berberine-gt/U3ByZWU6OlByb2R1Y3QtOTI4ODc=/M54381,https://assets.fullscript.io/Product/MI0362/400_front.png,,"Suggested Use: Take one capsule two to three times daily or as directed by your healthcare practitioner. Serving Size: 1 Capsule† Amount Per Serving Berberine HCl … 500mg* (from Phellodendron amurense bark extract) Decaffeinated†† Green Tea … 200mg (Camellia sinensis) Leaf Extract [standardized to 60% (120 mg) catechins and 40% (80 mg) epigallocatechin gallate (EGCG)] Other Ingredients : Capsule (hydroxypropylmethylcellulose), microcrystalline cellulose, magnesium stearate (vegetable), and silica. This product is non-GMO, gluten-free, and vegetarian. *Daily Value not established. †Vegetarian capsule ††Contains no more than 4% caffeine",2025-09-09 09:35:54
Emerson,,,,,USD,instock,1,https://emersonecologics.com/products/detail/Symphony-Natural-Health/femmenessencepro-180-vcaps/U3ByZWU6OlByb2R1Y3QtNjMzMjM=/SY1109,https://assets.fullscript.io/Product/NH0001/400_front.png,,"Suggested Use: Take 2 capsules twice daily with 8-12oz. of water before or between meals. The first serving is to be taken in the morning, and the second in the afternoon - ideally 30 minutes before a low in energy. Not to be taken in conjunction with hormone-suppressing medications such as Tamoxifen. Consult your healthcare professional before starting Femmenessence if you are taking medication. Serving Size : 2 Capsules",2025-09-09 09:35:55
Emerson,,,,,USD,instock,1,https://emersonecologics.com/products/detail/Metagenics/epa-dha-liquid-high-concen-dot-5-fl-oz/U3ByZWU6OlByb2R1Y3QtNjMxMjY=/EPA37,https://assets.fullscript.io/Product/MI0177/400_front.png,,Amount Per Serving Calories … 40 Total Fat … 4g* Cholesterol … 15mg Omega-3 Fatty Acids (as TG) … 2.8g EPA … 1410mg** (Eicosapentaenoic acid triglyceride) DHA … 990mg** (Docosahexaenoic acid triglyceride) Other Omega-3 Fatty Acid Triglycerides … 400mg**,2025-09-09 09:35:57
Emerson,,,,,USD,instock,1,https://emersonecologics.com/products/detail/Metagenics/spm-active-one-daily/U3ByZWU6OlByb2R1Y3QtMTA3ODAw/MI0444,https://assets.fullscript.io/Product/MI0446/400_front.png,,"Suggested Use: Take one softgel one time daily or as directed by your healthcare practitioner Serving Size: 1 Softgel Amount Per Serving Calories … 10 Total Fat … 1g Cholesterol … <5mg Active Fractionated Marine Lipid Concentrate † … 1g SPM content standardized to 18-hydroxy-eicosapentaenoic acid (18-HEPE), 17-hydroxy-docosahexaenoic acid (17-HDHA) and 14-hydroxy-docosahexaenoic acid (14-HDHA) Other Ingredients: Fractioned marine lipid concentrate [fish oil (anchovy, sardine, mackerel) and mixed tocopherols (antioxidants)], softgel shell (gelatin, glycerine, water), and silica.",2025-09-09 09:35:58
Emerson,,,,,USD,instock,1,https://emersonecologics.com/products/detail/Gaia-Herbs-Pro/adrenal-support-120-lvcaps/U3ByZWU6OlByb2R1Y3QtNjQwMTI=/ADR68,https://assets.fullscript.io/Product/GA0146/400_front.png,,"Suggested Use: Adults take 2 capsules in the morning. For additional support, take 2 capsules in the afternoon. Serving Size: 2 Capsules Amount Per Serving Calories ... 5 Total Carbohydrate ... 1g Siberian Rhodiola root extract ... 120mg (Rhodiola rosea) Rasovins ... 6mg Holy Basil leaf Supercritical CO2 extract ... 32mg (Ocimum sanctum) Eugenols ... 3.86mg Proprietary Extract Blend ... 520mg Organic Oats milky seed fresh extract (Avena sativa), Organic Holy Basil leaf (Ocimum sanctum), Schisandra berry (Schisandra chinensis), Ashwagandha root extract (Withania somnifera) Other Ingredients: Vegetable glycerin, water, vegan capsule (hypromellose) and olive oil.",2025-09-09 09:36:05
Emerson,,,,,USD,instock,1,https://emersonecologics.com/products/detail/Metagenics/omegagenics-epa-dha-720-60gels/U3ByZWU6OlByb2R1Y3QtNjI5NTU=/EPA34,https://assets.fullscript.io/Product/MI0187/400_front.png,,"Other Ingredients: Marine lipid concentrate [fish (sardine, anchovy, and mackerel) oil], softgel shell (gelatin, glycerin, water), contains 2 percent or less of natural lemon flavor, natural lime flavor, mixed tocopherols (antioxidant), rosemary extract, and ascorbyl palmitate (antioxidant). Contains: Fish (sardine, anchovy, and mackerel).",2025-09-09 09:36:06
Emerson,,,,,USD,instock,1,https://emersonecologics.com/products/detail/Klaire-Labs-SFI-Health/ther-biotic-synbiotic-50-billion-cfu-shelf-stable/U3ByZWU6OlByb2R1Y3QtOTI2NzE=/K10861,https://assets.fullscript.io/Product/VI0278/400_front.png,,"Suggested Use: Take 1 capsule daily or as directed by a healthcare professional. Serving Size: 1 Capsule Amount Per Serving Probiotic Blend ... 323 mg ( 50 billion CFU) Lactobacillus plantarum UALp-05®‡ ... 15.5 billion CFU* Bifidobacterium lactis UABla-12®‡ ... 13.3 billion CFU* Lactobacillus rhamnosus GG ... 9.2 billion CFU* Lactobacillus acidophilus DDS®-1‡ ... 5.0 billion CFU* Lactobacillus paracasei ... 5.0 billion CFU* Lactobacillus reuteri UALre-16®‡ ... 1.0 billion CFU* Bifidobacterium bifidum ... 1.0 billion CFU* Sunfiber®‡‡ ... 200mg (partially hydrolyzed guar gum/PHGG) Other Ingredients: Delayed release capsule (hydroxypropyl methylcellulose, gellan gum, and water), silica, and ascorbyl palmitate. Made without common allergens: milk/casein, eggs, fish, shellfish, tree nuts, peanuts, wheat/gluten, soybeans, and sesame. No synthetic colors or flavors. Non-GMO, Vegetarian. ‡DDS® and all UA strains are registered trademarks of UAS Laboratories LLC and used under license.",2025-09-09 09:36:08
Emerson,,,,,USD,instock,1,https://emersonecologics.com/products/detail/BodyHealth/perfectamino-tablets/U3ByZWU6OlByb2R1Y3QtOTMwODc=/DY0001,https://assets.fullscript.io/Product/DY0001/400_front.png,,"Suggested Use: Take 5 tablets, 1-3 times daily or as needed. Serving Size: 5 Tablets Amount Per Serving PERFECT AMINO™ EAA & NA Proprietary Blend … 5g L-Leucine, L-Valine, L-Isoleucine, L-Lysine HCL, L- Phenylalanine, L-Threonine, L-Methionine, L-Tryptophan, L-Histidine, Uridine, Adenosine Triphosphate, Thymidine, Adenine, 2'-Deoxyadenosine, 2'-Deoxyguanosine, 2'-Deoxycytidine Other Ingredients : None.",2025-09-09 09:36:09
Emerson,,,,,USD,instock,1,https://emersonecologics.com/products/detail/BodyHealth/perfectamino-xp-powder-lemon-lime/U3ByZWU6OlByb2R1Y3QtOTMwODg=/DY0002,https://assets.fullscript.io/Product/DY0002/400_front.png,,"Serving Size: 1 Scoop (6.53g) Amount Per Serving PerfectAmino® Amino Acid Blend ... 5g L-leucine, l-Valine, L-Isoleucine, L-Lysine HCL, L-Phenylalanine, L-Threonine, L-Methionine, L-Tryptophan, L-Histidine, Uridine, Adenosine Triphoposphate, Thymidine, Adenine 2’-Deoxyadenosine, 2’-Deoxyguanosine, 2’-Deoxycytidine Other Ingredients: Natural Flavors, Citric Acid (from Cassava), L-Malic Acid, Stevia Extract, Monk Fruit (Luo Han Guo), Himalayan Pint Salt, Katemfe Fruit (Thaumatcoccuc Daniellii) extract",2025-09-09 09:36:27
Emerson,,,,,USD,instock,1,https://emersonecologics.com/products/detail/Pure-Encapsulations/cortisol-calm-120-vcaps/U3ByZWU6OlByb2R1Y3QtNzE0MzM=/COR6,https://assets.fullscript.io/Product/PU0817/400_front.png,,Amount Per Serving Vitamin D ... 10 mcg (400 IU) (as cholecalciferol)(D3) Sensoril® Ashwagandha Extract ... 250mg (withania somnifera)(root and leaf) Rhodiola Extract ... 125mg (rhodiola rosea)(root) (standardized to contain 3% total rosavins and min. 1% salidroside) Magnolia Extract ... 100mg (magnolia officinalis)(bark) (standardized to contain 2% honokiol) L-Theanine ... 50mg,2025-09-09 09:36:41
Emerson,,,,,USD,instock,1,https://emersonecologics.com/products/detail/Metagenics/spm-active-one-daily/U3ByZWU6OlByb2R1Y3QtMTA3ODAw/MI0446,https://assets.fullscript.io/Product/MI0446/400_front.png,,"Suggested Use: Take one softgel one time daily or as directed by your healthcare practitioner Serving Size: 1 Softgel Amount Per Serving Calories … 10 Total Fat … 1g Cholesterol … <5mg Active Fractionated Marine Lipid Concentrate † … 1g SPM content standardized to 18-hydroxy-eicosapentaenoic acid (18-HEPE), 17-hydroxy-docosahexaenoic acid (17-HDHA) and 14-hydroxy-docosahexaenoic acid (14-HDHA) Other Ingredients: Fractioned marine lipid concentrate [fish oil (anchovy, sardine, mackerel) and mixed tocopherols (antioxidants)], softgel shell (gelatin, glycerine, water), and silica.",2025-09-09 09:36:43
